question,answer
在图像-文本对齐训练的文本中的无限制词汇对检测器有什么帮助？,有利于提高模型检测新类别的泛化能力
为什么现有的物体检测只能从一个标签空间的图像中学习？,因为现有的物体检测器只有一个分类层
物体检测的目的是什么？,预测图像中每个物体的类别标签和边界框坐标。
UniDetector的三个步骤是什么,第一阶段进行图像-文本预训练以对齐两个空间、第二阶段以解耦方式对异质标签空间的图像进行训练、第三阶段应用概率校准以保持平衡
对物体检测进行多数据集训练的难点是什么？,难点在于如何利用多个异构标签空间
传统的物体检测有什么缺点？,只能在封闭的世界中工作，即图像仅限于一个单一的数据集。
统一探测器框架的基本流程包括哪些步骤？,第一步大规模图像-文本对齐预训练、第二步异构标签空间训练、第三步开放世界推理
通用物体检测的目的是什么？,旨在检测每个场景中的所有物体。
与定位相关的度量往往对开放世界中的新物体具有什么特性？,鲁棒性
为什么物体检测器需要在分类和定位方面进行大规模协作训练？,为了保证检测器能够获得足够的信息进行泛化
物体检测器如何避免偏差问题？,建议采用概率校准法对预测结果进行后处理
物体检测使用异构图像进行训练的最大优势是什么？,多种开源的图像相互配合，带来了各种信息，从而有助于提高开放世界的性能
通用物体检测框架UniDetector的优势是什么？,通过利用多源图像、异构标签空间以及将检测器泛化到开放世界，可以直接检测每个场景中的所有物体而无需进行任何微调
物体检测的通用性有什么意义？,通用性是人工智能系统与生物机制之间的重要桥梁
CLN与单一的RPN模块有什么不同？,CLN包含两个RPN和RoI头生成通用目标检测建议
物体检测器在多个数据集上进行训练的优势是什么？,可以提高模型的鲁棒性和扩大检测器的词汇量
传统的对象检测和通用对象检测的检测类别有什么区别？,传统对象检测只能检测训练时出现的类别而通用对象检测需要检测的类被是无法预先知道的
零镜头对象检测的目的是什么？,从看到的类别泛化到未看到的类别
两级探测器包括什么？,主要包括RCNN及其变体
如何利用区域建议阶段对新类别的泛化能力？,将建议生成阶段和RoI分类阶段分离开来而不是联合训练
限制传统物体检测器普遍性的原因有哪些？,对人类注释的依赖、有限的视觉信息以及开放世界中的新类别
通用物体检测器UniDetector通用性的关键点有哪些？,它可以利用多种来源的异构标签空间进行训练、可以轻松泛化到开放世界、能够检测超过7k个类别
限制物体检测开放世界泛化能力的原因是什么？,在开放世界中与现有图像相比存在显著差异，并且会出现未见类别
检测器理想的大规模学习需要什么？,尽可能多地包含各种类型的图像并带有高质量的边界框注释和大量的类别词汇
为什么多种异构标签空间难以统一？,特定数据集的分类法和数据集之间注释的不一致
