number,question,answer,机器回答通过与否,原因及正确解答,满意度
1,"分别用小数和分数表示下面每个图中涂色部分的大小
10份占3份
100份占25份
10份占4份
","第一个图中涂色部分的大小可以用小数表示为0.3，用分数表示为3/10。
第二个图中涂色部分的大小可以用小数表示为0.25，用分数表示为1/4。
第三个图中涂色部分的大小可以用小数表示为0.4，用分数表示为2/5。",通过,,6
2,"(1)0.8里面有8个()分之一，表示()分之()，化成分数是
(2)0.05 里面有5个()分之一，化成分数是
(3)0.007里面有7个()分之一，化成分数是
(4)0.36里面有36个()分之一，化成分数是","(1) 0.8里面有8个8分之一，表示8/8，化成分数是1。
(2) 0.05里面有5个20分之一，化成分数是1/20。
(3) 0.007里面有7个1000分之一，化成分数是7/1000。
(4) 0.36里面有36个100分之一，化成分数是36/100。化简为9/25。",不通过,"(1) 0.8里面有8个8分之一，表示8/10，化成分数是4/5。
(2) 0.05里面有5个100分之一，化成分数是1/20。
(3) 0.007里面有7个1000分之一，化成分数是7/1000。
(4) 0.36里面有36个100分之一，化成分数是36/100。化简为9/25。",2
3,"把小数和相等的分数用线连起来
0.6 0.03 0.45 3.25 0.18
13/4 3/100 3/5 9/20 9/50","下面是小数和相等的分数用线连起来的结果：

0.6 - 3/5
0.03 - 3/100
0.45 - 9/20
3.25 - 13/4
0.18 - 9/50",通过,,8
4,小汽车20米/秒，猎豹31米/秒 猎豹的速度是小汽车速度的多少倍?小汽车的速度是猎豹速度的几分之几?,猎豹的速度是小汽车速度的1.55倍。小汽车的速度是猎豹速度的约0.645倍，或者说小汽车的速度是猎豹速度的约64.5%。,不通过,"表达错误，
猎豹的速度是小汽车速度的1.55倍。小汽车的速度是猎豹速度的20/31",2
5,"把下面的分数化成小数(除不尽的保留两位小数)。
31/100 2/25 7/30 4/9 5/6 11/50 23/20","31/100 = 0.31
2/25 = 0.08
7/30 = 0.23
4/9 = 0.44
5/6 = 0.83
11/50 = 0.22
23/20 = 1.15",通过,,8
6,"在□里填上适当的小数或分数
□ 0.25 0.3 □ □ □ 0.8
1/8 □ □ 1/2 5/8 3/4 □","在□里填上适当的小数或分数
□ 0.25 0.3 □ □ □ 0.8
1/8 □ □ 1/2 5/8 3/4 □",不通过,"识别不出来，答案应该是，上面：0.125，0.5，0.625，0.75
下面：1/4，3/10，4/5",0
7,"在下表的括号里填上适当的数
          用小数表示 用分数表示
40cm            m               m
150g            kg              kg
125c㎡?        d㎡?           d㎡?
3680dm?       m?             m?    ","在下表的括号里填上适当的数：
          用小数表示 用分数表示
40cm            0.4m           2/5m
150g            0.15kg         3/20kg
125c㎡?        1.25d㎡?       5/4d㎡?
3680dm?       3.68m?         368/100m?",通过,,7
8,"按从大到小的顺序排列下面各数
2 4/7， 2.35， 13/6， 11/16， 2.035","按从大到小的顺序排列下面各数：
13/6， 2.35， 2 4/7， 2.035， 11/16",不通过,"按从大到小的顺序排列下面各数：
2.35， 2 4/7， 2.035， 13/6， 11/16",0
9,"李阿姨：我平均每秒打0.9个字
王叔叔我1分钟打了50个字平均每秒打了5/6个字
李阿姨和王叔叔谁打字快此?","根据提供的信息，我们可以计算出李阿姨和王叔叔每秒打字的速度：

李阿姨：平均每秒打了0.9个字
王叔叔：平均每秒打了5/6个字

比较两者的速度，0.9 > 5/6，所以李阿姨打字更快。",通过,,6
10,"小林：我从学校回家要花25分钟
小凡：我回家要花1/4小时
如果他们两人的行走速度相同，谁家离学校远些?",小林回家需要花费25分钟，而小凡回家需要花费1/4小时，换算成分钟就是15分钟。比较两人回家所需时间，25分钟 > 15分钟，所以小林的家离学校更远一些。,通过,,6
